from,to
39585367,85910558
39585367,24714450
39585367,25157561
39585367,33933259
39585367,14159148
39585367,11348282
39585367,19079492
39585367,20617448
39585367,20464660
39585367,48437303
39585367,10346932
39585367,58550415
39585367,14066429
39585367,17325090
39585367,69181624
39585367,11695602
39585367,20646711
39585367,28543386
39585367,80215169
39585367,58937651
39585367,16467567
39585367,15282064
39585367,14647570
39585367,64826699
39585367,36969470
39585367,11178902
39585367,16465385
39585367,34960648
39585367,70840132
39585367,14677117
39585367,5741722
39585367,37681531
39585367,3108351
39585367,16888241
39585367,16348513
39585367,12902502
39585367,62522718
39585367,17881467
39585367,17294913
39585367,57741304
39585367,13348
39585367,34377792
39585367,20084565
39585367,19177501
39585367,35928501
39585367,19939139
39585367,820585
39585367,17074440
39585367,37732404
39585367,68935997
39585367,20427406
39585367,36591546
39585367,56019791
39585367,44155214
39585367,11856892
39585367,9567972
39585367,33581535
39585367,45577446
39585367,15918708
39585367,59790468
39585367,14104907
39585367,2996801
39585367,15955754
39585367,68992935
39585367,40047360
39585367,15041670
39585367,35665339
39585367,18691131
39585367,18023868
39585367,36457033
39585367,54480908
39585367,28657533
39585367,20351289
39585367,15164565
39585367,19401276
39585367,14626496
39585367,72114576
39585367,19429847
39585367,2774211
39585367,57273558
